"","Name","p_value","p_adj","time0","time12"
"146","158256496-stool1_revised_scaffold14884_1_gene26432 strand:+  start:1 stop:975 length:975 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.528612125255688,1,1.18618354703664e-05,1.55040040127372e-05
"147","158256496-stool1_revised_scaffold15836_1_gene100983 strand:+  start:1 stop:3114 length:3114 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.787406490666269,1,0,0
"148","158256496-stool1_revised_scaffold21525_1_gene33735 strand:+  start:2 stop:2419 length:2418 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.0360316862182336,1,0,1.47206136791129e-05
"149","158256496-stool1_revised_scaffold21590_1_gene58670 strand:+  start:3 stop:755 length:753 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.672603817441517,1,1.05182632022309e-05,4.93006984889982e-06
"150","158256496-stool1_revised_scaffold22223_2_gene67634 strand:+  start:3 stop:1730 length:1728 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"151","158256496-stool1_revised_scaffold7172_1_gene51172 strand:-  start:13298 stop:14551 length:1254 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"152","158337416-stool1_revised_C1126850_1_gene22877 strand:+  start:1 stop:567 length:567 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11",0.371093369522698,1,0,0
"153","158337416-stool1_revised_C1175150_1_gene18245 strand:-  start:68 stop:721 length:654 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"154","158337416-stool1_revised_C1186244_1_gene151812 strand:+  start:1 stop:540 length:540 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"155","158337416-stool1_revised_C1198242_1_gene66639 strand:+  start:1 stop:576 length:576 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.371093369522698,1,0,0
"156","158337416-stool1_revised_C1209282_1_gene76940 strand:-  start:2 stop:1033 length:1032 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11",0.583882420770365,1,0,0
"157","158337416-stool1_revised_C1218220_1_gene17431 strand:+  start:1 stop:978 length:978 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.058707408431205,1,4.83289455366169e-05,0.000355451899630796
"158","158337416-stool1_revised_C1253538_1_gene87961 strand:+  start:3 stop:1349 length:1347 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"159","158337416-stool1_revised_C1253998_1_gene63309 strand:-  start:11 stop:1219 length:1209 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"160","158337416-stool1_revised_C1261544_1_gene56976 strand:+  start:3 stop:1031 length:1029 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"161","158337416-stool1_revised_C1271394_1_gene70210 strand:+  start:306 stop:1934 length:1629 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",0.280712665268496,1,0,0
"162","158337416-stool1_revised_C1271974_1_gene162790 strand:+  start:426 stop:2048 length:1623 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"163","158337416-stool1_revised_C1273116_1_gene84467 strand:-  start:3033 stop:3884 length:852 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.583882420770365,1,0,0
"164","158337416-stool1_revised_C1274042_1_gene15182 strand:+  start:831 stop:2018 length:1188 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"165","158337416-stool1_revised_C1276920_1_gene50576 strand:-  start:151 stop:1500 length:1350 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
