taxon,lfc_(Intercept),lfc_ppFEV1,lfc_Age,lfc_Sexmale,se_(Intercept),se_ppFEV1,se_Age,se_Sexmale,W_(Intercept),W_ppFEV1,W_Age,W_Sexmale,p_(Intercept),p_ppFEV1,p_Age,p_Sexmale,q_(Intercept),q_ppFEV1,q_Age,q_Sexmale,diff_(Intercept),diff_ppFEV1,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_ppFEV1,passed_ss_Age,passed_ss_Sexmale
Bifidobacterium_longum,-1.9359937856276896,0.039906904957891794,-0.025391211897432788,-1.053599272117625,2.3089509105723134,0.021638190330673625,0.030304070288004654,0.5352510489600473,-0.8384733416215506,1.8442810765612412,-0.8378812369466904,-1.968420751654181,0.41078287402810043,0.07865141387915155,0.4111082679852446,0.061747326611363826,0.8215657480562009,0.40893460776619905,0.8095670508017124,0.13571898963580778,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bifidobacterium_pseudocatenulatum,-14.824589712344073,0.17880110384233291,0.06152833524624131,-1.4639627163271753,2.4313052203047802,0.02129228602708054,0.03057002727807618,0.5997362808387013,-6.097379131397461,8.397459230771425,2.012701352424615,-2.441010762730406,0.0036597799770924804,0.0011004692362547566,0.11444584366894257,0.07113085991126686,0.10410040823729722,0.04589499419772951,0.4374120342335666,0.14685080755874447,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Anaerobutyricum_soehngenii,0.36402154576942536,-0.005056937518289078,-0.01540459380021688,0.42875357421797333,2.3946204735115164,0.022181460881096817,0.02661686579573896,0.36825405306611186,0.15201638413941118,-0.2279803636648041,-0.5787531078389767,1.1642874549462192,0.8813429810757744,0.8229575656791608,0.5719500030150615,0.2637652309660278,1,1,0.9619345200729257,0.4142570498607553,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_mutans,17.64686212631834,-0.13598269726451204,-0.1714645125443406,-3.9755054051280325,2.316017613093173,0.02154356189383538,0.027050101732924398,0.17410000487040472,7.619485286534567,-6.311987680339111,-6.338775145368132,-22.834608236153066,0.08307672960322883,0.10002748660942351,0.0996116535216762,0.02786179884084557,0.4430758912172204,0.43401756901715965,0.4259401690373,0.08491214884829126,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Anaerobutyricum_hallii,-0.8588592169621856,0.004684310065947008,0.018433792610259337,-0.4437621080734628,2.3070458527329234,0.022696427602576418,0.026149777930158397,0.5043435479407269,-0.37227661337757206,0.20638975207777904,0.7049311340040002,-0.8798806089328935,0.7152617026329131,0.8394578694662528,0.49241504921095713,0.39377710616962314,1,1,0.8780968930293711,0.5727666998830883,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Veillonella_parvula,1.1234582034878489,-0.03170589068329077,-0.04871981558741376,2.79528327785692,2.4308934996496805,0.0232918560929425,0.029554478166951406,0.5546481618210106,0.46215854526319317,-1.3612436276771325,-1.648474904960208,5.039741353652913,0.6522345878986475,0.19845050340714923,0.12516927186892957,2.8942949080478756e-4,1,0.5708239199126989,0.4374120342335666,0.0040452688620826426,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Coprococcus_catus,1.2155804352876176,-0.002740982647931327,0.014942484174120366,-2.6533709543489032,2.2354429876650594,0.021206396618846924,0.027206341346570892,0.3442435926894197,0.5437760846485745,-0.1292526352871903,0.54922799004004,-7.707829602925401,0.5985086367206226,0.8997205089582757,0.5948999138209656,1.62865198114156e-5,0.9576138187529962,1,0.967607396800064,0.0010327020730855096,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Dorea_formicigenerans,0.6505603789377632,-0.008643438528285039,-0.0053785717843942695,-0.3381684173803364,2.297570197211613,0.02180278352620267,0.029194195451957797,0.45026550414788846,0.2831514700736017,-0.39643738690049923,-0.18423428702617584,-0.7510422501059861,0.7812044880371818,0.697759107134734,0.8564716215273667,0.46506500767464487,1,1,1,0.6470469671995059,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Megasphaera_micronuciformis,-5.570468843296763,0.0778393449391738,0.07382205366346575,-3.404032417373015,2.3183115284854052,0.021571568480392878,0.027085376180765983,0.184037794428737,-2.402812898461516,3.6084230504575774,2.7255317840439917,-18.496376942243366,0.2510671936867264,0.1721068372667128,0.22386812697805852,0.03438514381111864,0.6301294272921761,0.5379256818033584,0.5486514909383593,0.09364464697496139,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Blautia_faecis,-2.335819307215526,0.019798388129011794,0.045484044787783395,-1.5484850033753617,2.4511760427420066,0.022745678866328896,0.030465124887676682,0.5073594872786223,-0.9529382086333397,0.8704241471693306,1.4929873077980373,-3.052047004543335,0.3519974234194452,0.39439631209297477,0.15104879351531716,0.006292157638143043,0.7701823965416921,0.7717218956276845,0.45113500559296854,0.030976776064704215,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
