"FeatureID","Time","n","prevalence","mean","sd","median","iqr","sum_abundance"
"Blautia_faecis","T12",34,91.17647058823529,0.008268932302081894,0.012138904646083722,0.004216441472978079,0.00923110007001716,0.2811436982707844
"Blautia_glucerasea","T0",34,44.11764705882353,0.003744540540047366,0.019314597106146466,0,2.1946899087750782e-4,0.12731437836161044
"Blautia_glucerasea","T12",34,44.11764705882353,0.003217289253743916,0.011615477458012736,0,0.0011437750657300198,0.10938783462729315
"Blautia_hansenii","T0",34,52.94117647058824,0.007917139962659648,0.015965687380246018,9.600260864715475e-5,0.00837608559996086,0.2691827587304281
"Blautia_hansenii","T12",34,55.88235294117647,0.004137364956026359,0.007405091599663947,1.5730530601167796e-4,0.00487282129282823,0.1406704085048962
"Blautia_hydrogenotrophica","T0",34,14.705882352941178,1.886831291780531e-4,6.05788228912894e-4,0,0,0.006415226392053806
"Blautia_hydrogenotrophica","T12",34,11.76470588235294,2.3269499865102868e-4,8.532953015270796e-4,0,0,0.007911629954134976
"Blautia_luti","T0",34,5.88235294117647,1.400011116410113e-4,5.861525289611679e-4,0,0,0.004760037795794384
"Blautia_luti","T12",34,11.76470588235294,0.001403483158826101,0.00509542383391883,0,0,0.047718427400087436
"Blautia_marasmi","T0",34,5.88235294117647,4.192980421939408e-5,2.210947419109112e-4,0,0,0.0014256133434593986
"Blautia_marasmi","T12",34,0,0,0,0,0,0
"Blautia_massiliensis","T0",34,73.52941176470588,0.017497354871217726,0.05364992151934206,0.0013339343191183252,0.0078663230882996555,0.5949100656214027
"Blautia_massiliensis","T12",34,79.41176470588235,0.03135623760524138,0.038610134128056514,0.010597417882104217,0.05517675614963599,1.066112078578207
