"","Name","p_value","p_adj","time0","time12","Group","Logfc"
"1240","RALB_HUMAN",0.715132966637612,0.823022969118777,6.5934595425233e-05,7.20124028330269e-05,"time12",0.127209770084027
"1241","BCR_HUMAN",0.17465019651046,0.324392732032339,7.32130477328338e-06,8.14714587464581e-06,"time12",0.15419395718675
"1242","SPTB1_HUMAN",0.185143724157873,0.327566192060123,1.12615162915047e-06,1.54528399882491e-05,"time12",3.77839901177424
"1243","LAMP1_HUMAN",0.0081429798156023,0.0512518634758615,0.000390625389517679,0.000270498370075539,"time0",-0.530165822342272
"1244","ERG_HUMAN",0.280712665268496,0.435732003546966,9.02939454182193e-07,1.80803051799978e-07,"time0",-2.32021022288147
"1245","ACADM_HUMAN",0.114176673814654,0.244963100824329,0.000156572723202472,0.000128192534509391,"time0",-0.288520653363912
"1246","TOP1_HUMAN",0.0115395549538449,0.0605674531979927,3.35086023617717e-06,7.88539850770919e-06,"time12",1.23465215371856
"1247","TOP2A_HUMAN",0.833935414088552,0.902699570197702,1.63927021208113e-06,8.43695368896415e-07,"time0",-0.958259595737998
"1248","G6PD_HUMAN",0.000231636688113213,0.00751938009837076,0.00101176568735883,0.00156809291279438,"time12",0.632135826622981
"1249","PYC_HUMAN",0.0105804708190268,0.0578602989636777,1.86012749699388e-06,7.50483749123157e-06,"time12",2.01241932222413
"1250","C1TC_HUMAN",0.452164342626929,0.603795577578951,0.000429897324812306,0.000581499210351393,"time12",0.435785099917209
"1251","PERE_HUMAN",0.114176673814654,0.244963100824329,0.000677348978983802,0.00191301786350391,"time12",1.49787911977646
"1252","UTER_HUMAN",0.000137394294142723,0.00586182942081776,0.000778151441006175,0.00399376279769427,"time12",2.35962578935205
"1253","MPRI_HUMAN",0.0379099253645911,0.124210633133682,1.75281221425677e-05,3.09983682548367e-05,"time12",0.822520831728339
"1254","ADHX_HUMAN",0.0497101210057736,0.148831354770669,7.86495422753782e-05,0.000108259424875696,"time12",0.460982354338852
"1255","CD20_HUMAN",0.169810505085521,0.3205683144361,7.46988778107219e-06,6.61582762446971e-06,"time0",-0.175164924252039
"1256","PRPS2_HUMAN",0.00147982763550481,0.0189678336198932,1.77496862876642e-05,2.84130420676351e-05,"time12",0.678759776930936
"1257","PABP1_HUMAN",0.00761213712394238,0.0492603413231937,0.000103683823143336,0.00012704722569505,"time12",0.293174050945598
"1258","PCNA_HUMAN",0.319898125994469,0.479125252398437,2.82874279329919e-05,2.2257961339092e-05,"time0",-0.345839545209909
"1259","K2C3_HUMAN",0.190929520875216,0.334925705781986,0.00207773641850183,0.00306729276557877,"time12",0.561953229226523
"1260","CX6A1_HUMAN",0.130121209757529,0.266992094085098,1.21583679716105e-05,2.21590522717572e-05,"time12",0.865946592021007
"1261","HARS1_HUMAN",0.159870249540004,0.306478176533698,0.000118394268278113,7.91795253167466e-05,"time0",-0.580399915165467
