"","Name","p_value","p_adj","time0","time12","Group","Logfc"
"5853","SAMH1_HUMAN",0.00298700109124184,0.0283232790562393,0.000206813525022542,0.000308624546708346,"time12",0.577522275480485
"5856","AAKB1_HUMAN",0.00376138998044069,0.0326078118333414,4.18921677095206e-05,2.63102622085463e-05,"time0",-0.671054911866646
"5866","WDR7_HUMAN",0.0038804738522969,0.0332162924427634,2.44522631892293e-07,4.16189586769917e-06,"time12",4.08920096301726
"5879","TELO2_HUMAN",0.00587612541415952,0.0419332103928014,1.42679597961434e-05,1.17200888721686e-06,"time0",-3.60572364102249
"5888","IFT25_HUMAN",0.00351114119156405,0.0309779118718051,9.72426213934225e-06,2.52357018764357e-05,"time12",1.37580552254389
"5899","UCHL5_HUMAN",0.00101359196451101,0.016016361915408,2.61864936505135e-05,1.13861012596368e-05,"time0",-1.20154906179646
"5905","CERT_HUMAN",0.00125733897562792,0.0177328060954721,2.99893189303e-05,1.02443789038282e-05,"time0",-1.54961623909401
"5910","MRCKB_HUMAN",0.00574194154874128,0.0414699422656738,2.90841698358299e-07,4.404971919668e-06,"time12",3.9208267921489
"5919","NUBP2_HUMAN",0.00475858645284234,0.0370574144495792,2.14599949986381e-05,1.02248038196982e-05,"time0",-1.0695765769996
"5926","IRAK3_HUMAN",0.00351007379357965,0.0309779118718051,5.70458577393619e-05,2.17795017413337e-05,"time0",-1.38915118285947
"5928","JAM1_HUMAN",0.000141413178051261,0.00594831628521254,1.16133214897088e-05,2.98772361073422e-05,"time12",1.36326604110666
"5940","CFA20_HUMAN",0.00117480392054236,0.0171145294994228,1.12663386184727e-05,4.12573642010367e-05,"time12",1.87263291641843
"5951","DC1L1_HUMAN",0.00403179414570332,0.033728160269308,0.00018787528938956,6.23986694675704e-05,"time0",-1.59018815455456
"5967","SCIN_HUMAN",0.00236200571441965,0.0250827491665221,6.80014941200031e-06,3.13040213185188e-05,"time12",2.20270964731708
