"FeatureID","Time","n","mean","sd","median","iqr"
"Erysipelatoclostridium_ramosum","H12",9,0.002086149190873992,0.0022266069105972897,0.00132229429567287,0.00436056118004025
"Erysipelotrichaceae_bacterium_LH1062","H0",9,4.0468852239082344e-5,1.2140655671724703e-4,0,0
"Erysipelotrichaceae_bacterium_LH1062","H12",9,8.993782862562069e-6,2.6981348587686204e-5,0,0
"Escherichia_coli","H0",9,0.060219721131472045,0.11629273909999972,0.01557631200092507,0.02755098193758681
"Escherichia_coli","H12",9,0.009576816981511261,0.019127795445866833,2.680911927130528e-4,0.001911389074652349
"Escherichia_marmotae","H0",9,1.9629185384763714e-5,3.864969134640152e-5,0,1.2839695891297317e-5
"Escherichia_marmotae","H12",9,0,0,0,0
"Eubacteriaceae_bacterium","H0",9,2.1759636964963467e-5,6.527891089489041e-5,0,0
"Eubacteriaceae_bacterium","H12",9,7.409322630137641e-5,1.4797360042729694e-4,0,0
"Eubacterium_brachy","H0",9,4.299836858364925e-5,1.2899510575094773e-4,0,0
"Eubacterium_brachy","H12",9,2.6660738163873277e-5,5.6582237834548295e-5,0,0
"Eubacterium_ramulus","H0",9,5.780294830897e-4,0.0013205681987034533,0,0
"Eubacterium_ramulus","H12",9,7.552931233073973e-4,0.0018117928213610458,0,5.427609880256492e-4
"Eubacterium_rectale","H0",9,0.022716675688105453,0.05065032054547356,5.827803232627501e-4,0.00111877224199288
"Eubacterium_rectale","H12",9,0.08242192411145503,0.1427457093922862,0.02179659598376534,0.0505268067211953
"Eubacterium_sp_c_25","H0",9,0,0,0,0
"Eubacterium_sp_c_25","H12",9,3.9631218857823865e-4,8.438873863786744e-4,0,1.320986909319953e-4
"Eubacterium_sulci","H0",9,4.2503835185931e-5,1.2657547178516058e-4,0,0
"Eubacterium_sulci","H12",9,7.282402679732401e-6,1.7506546371407483e-5,0,0
"Eubacterium_ventriosum","H0",9,0,0,0,0
"Eubacterium_ventriosum","H12",9,3.559201868341389e-4,6.799588712212063e-4,0,5.148704973285826e-4
"Evtepia_gabavorous","H0",9,0.0031355593466827567,0.005979745008372606,0,0.0050360300165076
"Evtepia_gabavorous","H12",9,0.0020910091130455157,0.002818211360302775,0,0.00395662453165249
"Faecalibacillus_intestinalis","H0",9,0.0016571365776156689,0.004755285467009145,0,0
"Faecalibacillus_intestinalis","H12",9,0.003003584361278668,0.005609667636140901,1.4870239647020938e-4,0.00271435058198466
"Faecalibacterium_SGB15346","H0",9,5.194469987349899e-4,0.0012734779994217976,0,0
"Faecalibacterium_SGB15346","H12",9,3.858250477325013e-4,0.001045783423132267,0,1.1537433202023967e-5
"Faecalibacterium_prausnitzii","H0",9,0.011038862813997114,0.011457721064415553,0.00944218144310848,0.021456016782721434
"Faecalibacterium_prausnitzii","H12",9,0.009136912766076583,0.013622233239964041,0.00349443770312779,0.009253072772987592
"Faecalibacterium_sp_CLA_AA_H233","H0",9,0.007883357862825702,0.022297305910784652,0,3.752830799094144e-4
"Faecalibacterium_sp_CLA_AA_H233","H12",9,5.046998633024066e-4,0.001369644032571286,0,0
"Faecalicatena_contorta","H0",9,0,0,0,0
"Faecalicatena_contorta","H12",9,1.5423702135059185e-5,1.9883013441330537e-5,0,3.1556563927125375e-5
"Faecalicatena_fissicatena","H0",9,9.768965016490085e-5,1.9618496673666562e-4,0,0
"Faecalicatena_fissicatena","H12",9,6.882664651591799e-4,0.0015662436957842296,0,1.586089255318061e-4
"Faecalimonas_umbilicata","H0",9,0.0033247846760900723,0.009637477517790217,0,8.811651646972793e-5
"Faecalimonas_umbilicata","H12",9,0.0012033280121507874,0.0017758756927497028,5.466627359108821e-4,0.00140990891007318
"Firmicutes_bacterium","H0",9,3.7577682911700024e-4,0.0010776803277428892,0,0
"Firmicutes_bacterium","H12",9,4.1987240716283205e-4,6.897496945446523e-4,0,7.723999778362688e-4
"Flavonifractor_plautii","H0",9,7.895813130915607e-4,0.0017432139886296545,1.2193733464422788e-4,4.638332619383067e-4
"Flavonifractor_plautii","H12",9,1.2559896266919596e-6,3.7679688800758784e-6,0,0
"Fusicatenibacter_saccharivorans","H0",9,0.01856753846812376,0.02297264970937469,0.00788461274138502,0.04637459335330734
"Fusicatenibacter_saccharivorans","H12",9,0.022477096512047316,0.027353895430664125,0.01751333372295592,0.02336579554238401
"Fusicatenibacter_sp_CLA_AA_H277","H0",9,3.5295665156521205e-5,1.058869954695636e-4,0,0
"Fusicatenibacter_sp_CLA_AA_H277","H12",9,1.2822836492583508e-4,3.431739819752824e-4,0,0
"Fusobacterium_nucleatum","H0",9,3.652831383519025e-5,9.171658964264115e-5,0,8.204259203873603e-6
"Fusobacterium_nucleatum","H12",9,0,0,0,0
"GGB3005_SGB3996","H0",9,1.85443383047421e-5,4.828375948446538e-5,0,0
"GGB3005_SGB3996","H12",9,2.3044253734913665e-4,6.9132761204741e-4,0,0
"GGB3109_SGB4121","H0",9,4.973919166460208e-5,1.0924166922176655e-4,0,1.3054468464220113e-5
"GGB3109_SGB4121","H12",9,7.777496196484813e-5,1.2911060096780337e-4,0,1.68425830938294e-4
"GGB3256_SGB4303","H0",9,0.002459444668871427,0.00737833400661428,0,0
"GGB3256_SGB4303","H12",9,0.03648328074067339,0.0927537080098027,0,0.0026269230518417
"GGB3277_SGB4327","H0",9,0,0,0,0
"GGB3277_SGB4327","H12",9,0.0026975867667857877,0.00809144361142348,0,0
"GGB3304_SGB4367","H0",9,0.0019333749374735878,0.003977785507940923,0,0
"GGB3304_SGB4367","H12",9,0,0,0,0
"GGB3433_SGB4574","H0",9,1.2977646377036333e-4,3.8932939131109e-4,0,0
"GGB3433_SGB4574","H12",9,3.6050109652416857e-6,1.0815032895725056e-5,0,0
"GGB34797_SGB14322","H0",9,1.033466335957439e-5,3.100399007872317e-5,0,0
"GGB34797_SGB14322","H12",9,1.548184038703137e-4,4.3502575638659774e-4,0,0
"GGB3511_SGB4688","H0",9,6.355564970188731e-5,1.2509414714128455e-4,0,6.6060268914306936e-6
"GGB3511_SGB4688","H12",9,3.607314144311129e-4,6.4295062314528e-4,0,4.264196924550158e-4
