FeatureID,P2H0,P2H12,P4H0,P4H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P21H0,P21H12,P26H0,P26H12,P27H0,P27H12
Mediterraneibacter_glycyrrhizinilyticus,7.797840504691039e-4,5.013452263228459e-5,0,9.350337168944641e-5,0,0.0018917892892748912,0,0,0,4.922691683698913e-5,0,2.848251989945116e-4,0,8.310906595807347e-4,6.6304949724774185e-6,0,0,0.01729311968972019
Phocaeicola_dorei,0.02643450744095762,0,3.618397955370748e-4,0.02591136943814205,3.3495267629010954e-4,0.006446336099149058,8.435195007649919e-6,2.0670000713559106e-4,0,0,0,0,0,0,0.002191479050448824,4.976917915903105e-4,0,0
Actinomyces_massiliensis,0,0,0,0,0,0,0,0,0,0,0.0014123675736426276,2.0547743559320872e-4,0,0,0,0,0,0
Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,0,0,0,0,0,1.6402505576094858e-4,0,0,0,6.085690126283584e-5,0,4.174075482609834e-5,0,0,0,0,0,0
Bifidobacterium_animalis,0,0,0,0,0,0,0,0,0.07029141665687219,0,0,0,0,0,1.258789424320334e-4,0,0,0
Lactococcus_lactis,0,0,1.2785858499543278e-6,0,0,0,5.964887898266728e-5,0,0,0,0,0,5.753150755361892e-4,4.72337030575883e-5,0,0,1.2664764195904945e-4,9.597170045741174e-5
Arachnia_propionica,0,0,0,0,0,0,0,0,0,1.6502546866330775e-4,3.6848725069158946e-5,0,0,0,0,0,0,0
Bacteroides_uniformis,0.009564663539307667,4.543128398215011e-5,0,0.0033410400042939315,9.720512975771014e-5,0.0011924873900060592,0,0,0,0,0,0,0,0,0.0015992552949525458,0,0,0
Parabacteroides_merdae,0.004873018440634099,0,7.245319816407858e-6,0.0050624250380359075,1.6261608165716926e-4,0,0,0,0,0,0,0,7.46661581852533e-4,0,6.445644809608351e-4,7.921010204183815e-5,0,0
Parabacteroides_distasonis,0.005030026690391459,0,4.070164955687944e-5,0.010060541426658794,0,4.418077963481058e-4,5.670660262880844e-4,0,0.0060140625718616905,1.1068536901840325e-4,0,0,0,0,0.0011605375442736232,2.6727150739527946e-4,3.236774925864242e-5,0
Gemmiger_formicilis,0,0,0.008264672385283946,0.001170598005227962,0,0,0,0,0.009337172569958906,0.09677911591665632,0,0.025820790606192714,0,0,0.16731049442596388,0.00420494487337399,9.409839130269502e-4,7.185368188573684e-4
