FeatureID,Rank,Taxon,P2H0,P2H12,P4H0,P4H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P21H0,P21H12,P26H0,P26H12,P27H0,P27H12
Escherichia_coli,Species,Escherichia_coli,2.354254286638628,0.004823321339074087,10.797977149326787,2.945928063602358,1.557631200092507,5.36680897985197,0.007692094495071235,0.008558672170458068,0.01615212819819904,0.02680911927130528,0.4793438363548119,0.04208355329568465,3.0212020586541084,0.024425994193592235,0.2661038648954271,0.19969757963569362,35.697392399669305,0
Enterococcus_faecium,Species,Enterococcus_faecium,0.10917785506308639,0,0,0.069405185123132,0.1814495755477256,0,0,0,0,0,0.019385633623340143,0,0,0.0012845139803669625,0,0,0,0
Actinomyces_SGB17132,Species,Actinomyces_SGB17132,0,0,0,0,0,0,0,0,0,0,0.021328202281877325,0,0.0036212933275215327,0,0,0,0.38794915419844495,0
Clostridium_saudiense,Species,Clostridium_saudiense,0,0,0.019349265862642163,0.1146218907244555,0,0.032027784734122454,0,0,0,0.00988548676196971,0.0019525818990451073,0.4593701138615199,0,0.35050037382391114,0.019459498123770846,0,0,0
Streptococcus_rubneri,Species,Streptococcus_rubneri,0,0,0,0,0,0,0,0,0,0.015279393331888274,0,0,0.010812731771723899,0,0,0,0,0.01561166347378126
Clostridium_SGB6173,Species,Clostridium_SGB6173,0,0,0,0,0,0.45629247050299565,0,0.019539610049536343,0,0,0,0.02684918601495166,0,8.900569312778951e-4,0,0,0.2761947102627646,0
Bacteroides_xylanisolvens,Species,Bacteroides_xylanisolvens,0,0,0,0.06911424115542879,0,0.17545129349149588,0,0,0,0,0,0,0,0,0.17562774713462154,0.08246462582990356,0,0
Clostridium_perfringens,Species,Clostridium_perfringens,0,0,0.02055326753801582,7.624738463946273e-4,0.03717083659797437,0,0,0,0,0,0,0.06563582461785028,0.9348460791776351,0,0,0,0,0
Scardovia_wiggsiae,Species,Scardovia_wiggsiae,0,0,0,0,0,0.007812639579013797,0,0,0,0,0.0016822244053311694,0,0,0,0,0,0.0023091011153361725,0
Granulicatella_SGB8255,Species,Granulicatella_SGB8255,0,0,0,0,0,0.06255158588003681,0,0,0,8.221195887236474e-4,0,0.009910908694216103,0.012981415911369563,0,0,0,0.44116939737200095,0
Roseburia_sp_AF02_12,Species,Roseburia_sp_AF02_12,0.02432465221611129,0,0.0026211009924063723,0.006581353200458889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_naeslundii,Species,Actinomyces_naeslundii,0,0,0,0,0,0,0,0.0045417482036628895,0.021633030260491144,0.054971728109411686,0.09986204758552232,0,0,0,0.1393910874895821,0,0,0
Rothia_mucilaginosa,Species,Rothia_mucilaginosa,0,0,0,0,0.0012251896563211383,0.0020995207137401418,0,0,0,0,9.712843292685919e-4,0,0.012255111317431629,0,0.014767920620517886,0,0.09286821516264693,0
Streptococcus_vestibularis,Species,Streptococcus_vestibularis,0,0,0,0,0.11429703174010751,0.042838297639967125,0,0,0,0,0,0,0,0,0,0,0,0
Enterocloster_bolteae,Species,Enterocloster_bolteae,13.56247978000647,0,0.004965175050655973,0.06731841459615723,0,2.8206657035115392,0.010353197682008413,0,0,0,0,0,0.045777648702426156,4.551427489489237e-4,0,0,0.03298283732866646,0.07984965567775684
Enterococcus_faecalis,Species,Enterococcus_faecalis,0,0,0,0,1.1053033296199624,0,0,0,0,0,0,0,0,0.10216437571406839,0,0,0,0
Veillonella_atypica,Species,Veillonella_atypica,0,0,0,0.0019061846159865686,0,0.33240056069315677,0,0,0,0,0,0,0.7891452857768181,0,0,0,0,0
Dorea_longicatena,Species,Dorea_longicatena,0,0.19054120667491634,0.47995981830868883,0.440519264754496,0,0,0,0,0.03458880058324012,3.044278759497737,0.8933212386738986,1.5457186285964095,8.828764280708338,0,0.17888271739383774,1.8151430488378848,0.17919229659667738,0.5020951152606112
Bifidobacterium_bifidum,Species,Bifidobacterium_bifidum,0,10.988706823518674,0.5076731666064488,0.3970783206112231,0,0,1.1424065772027208,9.612065063268066,8.60480581925508,11.155831965974675,28.73896152882957,14.975544353887397,0.029348843380393442,0,0,0,0.02789071478174608,0
