FeatureID,Rank,Taxon,A1E0,A1E12,A3E0,A3E12,A4E0,A4E12,A6E0,A6E12,A7E0,A7E12,A8E0,A8E12,A9E0,A9E12,A10E0,A10E12,A13E0,A13E12,A16E0,A16E12,A17E0,A17E12,A19E0,A19E12,A22E0,A22E12,A24E0,A24E12,A25E0,A25E12,A27E0,A27E12,A28E0,A28E12,A30E0,A30E12,P2E0,P2E12,P3E0,P3E12,P4E0,P4E12,P5E0,P5E12,P11E0,P11E12,P14E0,P14E12,P17E0,P17E12,P20E0,P20E12,P25E0,P25E12,P26E0,P26E12,P27E0,P27E12,P42E0,P42E12
Romboutsia_timonensis,Species,Romboutsia_timonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridiaceae_bacterium_AF18_31LB,Species,Clostridiaceae_bacterium_AF18_31LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_massiliensis,Species,Blautia_massiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718640119834764,0,0,0,0,0
Streptococcus_parasanguinis,Species,Streptococcus_parasanguinis,1.759260216346938,1.4112239687922217,4.331740866348173,4.93406221652141,0,0,2.7502097249790274,4.99162,0,0,0.12208942231789804,0,0.6855200685520069,0,0,0,0,0,0,0,0.8346966785836107,0,0,4.077577082801627,0,10.551134542340042,0,0,4.588651208340951,9.438110194343045,3.375649572493965,2.0112297988770202,0,0,0,1.3837260214991105,0,0,0,0,6.893068621386275,2.737003042804383,9.588710958871095,18.58384847573483,2.349050469810094,0,0,2.7893497210650278,0,0.4336645045147844,0.2578499226450232,0,1.4595819278594608,0,0,0,1.219885808103287,0,2.482724009777706,0
Abiotrophia_defectiva,Species,Abiotrophia_defectiva,0.08368588819489067,0,0,0,0,0,0,0,0,0,0.023217236073158568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08630999136900086,0,0,0,0,0,0,0,0,0,0,0.03318263560771974,0,0,0,0,1.4144497171100565,0,0,0,0,0,0.6553500655350065,0,0,0.13576420142507395,0.11393996581801026,0,0,0,0,0,0.5818488189925223,0.03637889168803957,0,0
Gemella_SGB7293,Species,Gemella_SGB7293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076684261556864515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020838555616992202,0,0,0,0,0,0,0,0,0,0
Abiotrophia_sp_HMSC24B09,Species,Abiotrophia_sp_HMSC24B09,0.1413698413480543,0,0,0,0,0,0,0,0,0,0.09790522109809166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3595257634838854,0,0,0,0,0,0,0,0,0,0,0.6479500647950065,0,0,0.2183597386157251,0,0,0,0,0,0,3.029977599796305,0.09071018170692752,0,0
Mogibacterium_diversum,Species,Mogibacterium_diversum,1.6260692931999672,0.06432421999288301,0,0.6567439687974008,0,0,0.7866299213370078,2.77009,0,0,0.09843906643947015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.842171436873604,0,0,0,1.4121247255356455,1.3914176515136047,0.5924099407590059,0,0,0,0.8303651061115941,0,0,0,0,0,1.131791152153227,0.04711000471100047,0.2677795632250082,0,0,0,0,0,0.10419277808496102,2.523679242896227,0.20518,0,0,0,0,0.9746355550613541,1.0234131301987153,0,0
Escherichia_coli,Species,Escherichia_coli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_faecium,Species,Enterococcus_faecium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008229999177000081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
