taxon,lfc_(Intercept),lfc_AST,lfc_Age,lfc_Sexmale,se_(Intercept),se_AST,se_Age,se_Sexmale,W_(Intercept),W_AST,W_Age,W_Sexmale,p_(Intercept),p_AST,p_Age,p_Sexmale,q_(Intercept),q_AST,q_Age,q_Sexmale,diff_(Intercept),diff_AST,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_AST,passed_ss_Age,passed_ss_Sexmale
Streptococcus_infantis,2.402519249118969,-0.026319436291168914,0.04915229259686082,-2.80847399199917,0.5656697831830277,0.01520321183095354,0.0096007524750724,0.26503178111552256,4.247211572094193,-1.7311760556794247,5.119629187866356,-10.596744209989696,0.013187382768115269,0.15846444987465017,0.006887906245486196,4.4885666699866856e-4,0.10272277103584525,0.4515327142885836,0.07123317136538171,0.010407151589292528,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Veillonella_atypica,1.8837144340709608,-0.07638658553490357,0.023731464855447526,-0.5670032664182882,0.45349963013647193,0.009312382028850279,0.00787565902222451,0.26296708806029834,4.153728710879198,-8.202690278196672,3.0132671803691777,-2.156175780781641,0.0031925815360456717,3.6454749227333264e-5,0.016730095805558183,0.06316463683362346,0.03937517227789662,0.0017984342952151078,0.08701790099705183,0.23970169875323774,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Veillonella_parvula,1.5968895925067246,0.07208236297114662,-0.04243771094149174,-3.2744853839975017,0.5944734585571883,0.014752101714085265,0.009489624128282999,0.3228066638617447,2.6862252124467285,4.886243626040253,-4.472011785483667,-10.14379735791308,0.027657911939496183,0.001214718598579433,0.002077679809290438,7.629181145234924e-6,0.1368858496274866,0.012841310899268292,0.043928087396426396,9.747157068426644e-4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Megasphaera_micronuciformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_gordonii,8.222059012372753,-0.27946233191085207,-0.007669468463121452,-1.383739658707202,0.442467564295635,0.009612119123478714,0.005312018904993098,0.2243028197379074,18.582286422421642,-29.073956358721457,-1.4437954006361764,-6.169069387197492,0.00288350096609398,0.0011809238619224268,0.28561257219305447,0.0252838010450831,0.03937517227789662,0.012841310899268292,0.7415905383258257,0.12903457085076891,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Veillonella_rogosae,0.7563113772509762,-0.0032994071271705496,-0.023784403700580783,0.29435754001671105,0.43532633461480236,0.008991810831661593,0.006898563632087531,0.21807493541619322,1.7373434986886258,-0.3669346685489438,-3.44773274105229,1.3497999641954883,0.12052997213436796,0.7231838018706295,0.008723872389968593,0.2140281394709652,0.4148473459508478,1,0.0726037968324634,0.6211012674843696,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Porphyromonas_bobii,-0.1466132413929356,0.040132056299881265,-0.023295720023517798,-0.2502766775614569,0.6654796114347563,0.012596104123973448,0.010721397660446816,0.5037438815411028,-0.2203121461179575,3.18606895472547,-2.1728249209018653,-0.49683318593525316,0.8290501563413222,0.00715698735719121,0.048873351558282985,0.6276024115184922,1,0.046053657776708654,0.1722203816815686,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Prevotella_histicola,4.605129878537192,-0.27583371034372695,0.04621793809773902,1.6441971933706117,0.47605317300001454,0.011363662001434901,0.006959765442491438,0.19653560693241062,9.673561987868636,-24.27331174659165,6.640732145305467,8.365899793089696,0.002345585560027724,1.532626867640608e-4,0.0069575923288032766,0.003581237689960503,0.03937517227789662,0.0037804796068468334,0.07123317136538171,0.029445732117453022,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Rothia_SGB49305,-0.28611742561939124,0.13139421863773837,-0.005543188996960406,-3.5060686625946778,0.48361869175376426,0.01041868270842794,0.007455945056853918,0.25035093624845417,-0.5916177982737456,12.611404177943745,-0.7434589384299177,-14.004615741141757,0.5798405972674254,5.567580778005212e-5,0.49064050209953203,3.33818906155114e-5,1,0.0020600048878619283,1,0.0012351299527739218,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Streptococcus_oralis,1.1804135143502346,0.05455811005816035,-0.0530517028804163,-1.9642730052222812,0.6614600156279804,0.018942967968337138,0.012770120421695657,0.3221371445385961,1.784557624741032,2.880124706400462,-4.1543619894362696,-6.097629654089569,0.1175093157915506,0.023647371576865826,0.004271739599503352,4.922301427368088e-4,0.41408044612260686,0.10293561745223948,0.07123317136538171,0.010407151589292528,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
