taxon,lfc_(Intercept),lfc_Calprotectin,lfc_Age,lfc_Sexmale,se_(Intercept),se_Calprotectin,se_Age,se_Sexmale,W_(Intercept),W_Calprotectin,W_Age,W_Sexmale,p_(Intercept),p_Calprotectin,p_Age,p_Sexmale,q_(Intercept),q_Calprotectin,q_Age,q_Sexmale,diff_(Intercept),diff_Calprotectin,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_Calprotectin,passed_ss_Age,passed_ss_Sexmale
Capnocytophaga_sputigena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Eubacterium_infirmum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Prevotella_baroniae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Corynebacterium_matruchotii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB1843_SGB2524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB4533_SGB6246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Campylobacter_rectus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_oulorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
GGB4333_SGB5935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_vespertina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Alloprevotella_SGB1483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Alloprevotella_SGB1484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Catonella_SGB4505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Catonella_SGB69305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB4538_SGB6256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB3059_SGB69431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB1202_SGB1567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Selenomonas_noxia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_veroralis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB3886_SGB5269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB3883_SGB5266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Solobacterium_SGB6833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TM7_phylum_sp_oral_taxon_351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Selenomonas_SGB5880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Prevotella_sp_oral_taxon_475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Aggregatibacter_segnis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB45697_SGB2042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Granulicatella_SGB8245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB1144_SGB1469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Porphyromonas_sp_oral_taxon_275,26.510294879309924,-0.5728382159924664,-1.712934766134309,NA,2.1423350237454195,0.07652419959270053,0.017729257595247606,NA,12.374486056322919,-7.48571326510298,-96.61627154616264,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Granulicatella_SGB8239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
